qid,n_words,t_suf_global,phi_suf_global,t_suf_perq,phi_suf_perq
test461,8,5,0.625,8,1.0
test462,9,,,,
test463,8,2,0.25,2,0.25
test464,8,7,0.875,,
test465,8,8,1.0,,
test466,10,6,0.6,7,0.7
test467,10,7,0.7,,
test468,8,,,,
test469,9,9,1.0,9,1.0
test470,8,6,0.75,8,1.0
test471,11,6,0.5455,,
test472,8,,,,
test473,9,6,0.6667,6,0.6667
test474,10,,,,
test475,8,,,,
test476,8,,,,
test477,8,8,1.0,,
test478,8,7,0.875,,
test479,8,6,0.75,,
test480,9,,,,
test481,7,6,0.8571,6,0.8571
test482,8,7,0.875,7,0.875
test483,8,,,,
test484,8,5,0.625,7,0.875
test485,10,,,,
test486,10,,,,
test487,8,4,0.5,,
test488,10,,,,
test489,9,,,,
test490,10,,,,
test491,9,5,0.5556,7,0.7778
test492,8,4,0.5,4,0.5
test493,9,,,,
test494,13,12,0.9231,12,0.9231
test495,8,,,,
test496,9,8,0.8889,5,0.5556
test497,14,,,,
test498,10,3,0.3,3,0.3
test499,8,,,,
