qid,n_words,t_suf_global,phi_suf_global,t_suf_perq,phi_suf_perq
test3058,10,3,0.3,3,0.3
test3059,7,,,,
test3060,12,10,0.8333,,
test3061,13,12,0.9231,12,0.9231
test3062,8,5,0.625,5,0.625
test3063,8,5,0.625,5,0.625
test3064,8,8,1.0,,
test3065,12,5,0.4167,5,0.4167
test3066,7,4,0.5714,4,0.5714
test3067,8,6,0.75,6,0.75
test3068,11,6,0.5455,1,0.0909
test3069,10,6,0.6,6,0.6
test3070,8,5,0.625,5,0.625
test3071,8,2,0.25,1,0.125
test3072,11,8,0.7273,8,0.7273
test3073,9,4,0.4444,4,0.4444
test3074,10,1,0.1,1,0.1
test3075,11,1,0.0909,1,0.0909
test3076,9,3,0.3333,3,0.3333
test3077,9,2,0.2222,2,0.2222
test3078,8,7,0.875,7,0.875
test3079,8,7,0.875,8,1.0
test3080,9,7,0.7778,7,0.7778
test3081,8,4,0.5,5,0.625
test3082,8,7,0.875,5,0.625
test3083,8,4,0.5,4,0.5
test3084,9,4,0.4444,4,0.4444
test3085,9,5,0.5556,5,0.5556
test3086,10,9,0.9,9,0.9
test3087,11,10,0.9091,7,0.6364
test3088,8,,,4,0.5
test3089,11,11,1.0,11,1.0
test3090,8,4,0.5,4,0.5
test3091,12,6,0.5,5,0.4167
test3092,8,3,0.375,3,0.375
test3093,12,,,,
test3094,10,4,0.4,4,0.4
test3095,6,3,0.5,3,0.5
test3096,9,6,0.6667,4,0.4444
test3097,8,6,0.75,6,0.75
test3098,10,8,0.8,8,0.8
test3099,9,4,0.4444,4,0.4444
test3100,8,5,0.625,5,0.625
test3101,8,5,0.625,5,0.625
test3102,8,3,0.375,3,0.375
test3103,8,4,0.5,4,0.5
test3104,11,4,0.3636,4,0.3636
test3105,9,6,0.6667,6,0.6667
test3106,8,3,0.375,3,0.375
test3107,9,3,0.3333,3,0.3333
test3108,9,4,0.4444,4,0.4444
test3109,9,3,0.3333,3,0.3333
test3110,13,4,0.3077,4,0.3077
test3111,8,3,0.375,3,0.375
test3112,12,5,0.4167,5,0.4167
test3113,8,5,0.625,5,0.625
test3114,9,3,0.3333,3,0.3333
