qid,n_words,t_suf_global,phi_suf_global,t_suf_perq,phi_suf_perq
2306,12,10,0.8333,,
2316,14,5,0.3571,6,0.4286
2318,6,,,,
2330,14,14,1.0,14,1.0
2334,14,6,0.4286,5,0.3571
2348,17,15,0.8824,15,0.8824
2376,12,4,0.3333,,
2383,8,4,0.5,4,0.5
2384,4,,,3,0.75
2385,8,2,0.25,2,0.25
2388,8,4,0.5,4,0.5
2395,6,,,,
2398,2,,,,
2399,12,,,,
2400,9,9,1.0,,
2407,13,10,0.7692,1,0.0769
2416,6,6,1.0,,
2423,10,9,0.9,,
2443,16,,,,
2445,13,6,0.4615,4,0.3077
2460,14,10,0.7143,,
2465,10,,,,
2472,20,,,,
2486,14,8,0.5714,13,0.9286
2498,13,,,,
2513,14,,,,
2516,7,4,0.5714,1,0.1429
2549,13,,,,
2551,11,,,,
2568,8,,,,
2579,19,7,0.3684,8,0.4211
2580,7,5,0.7143,7,1.0
2587,9,4,0.4444,4,0.4444
2589,13,6,0.4615,10,0.7692
2590,13,,,,
2593,23,15,0.6522,,
2598,12,,,,
2648,5,3,0.6,4,0.8
2676,6,,,1,0.1667
2685,13,,,,
2695,15,4,0.2667,4,0.2667
2713,4,,,,
2724,11,,,,
2737,10,,,,
2747,13,,,,
2749,16,8,0.5,8,0.5
2790,10,7,0.7,,
2801,12,7,0.5833,9,0.75
2856,8,,,4,0.5
2857,13,,,,
2880,9,6,0.6667,1,0.1111
2885,8,,,,
2891,10,10,1.0,,
2895,8,,,,
2903,9,,,,
2923,10,,,8,0.8
2964,9,,,,
2968,9,9,1.0,,
2994,8,,,,
3006,11,,,,
3008,14,,,,
3014,10,,,,
3033,6,,,,
3039,16,,,,
3049,11,,,,
3051,8,4,0.5,5,0.625
3067,14,,,,
3085,9,,,,
3091,10,5,0.5,,
3103,13,1,0.0769,1,0.0769
3115,14,8,0.5714,8,0.5714
3125,7,,,,
3148,16,10,0.625,10,0.625
3149,6,,,,
3177,5,2,0.4,2,0.4
3179,11,11,1.0,11,1.0
3186,6,6,1.0,3,0.5
3189,8,,,,
3254,10,9,0.9,4,0.4
3264,7,,,5,0.7143
3357,13,9,0.6923,9,0.6923
3369,13,,,,
3394,11,,,,
3404,15,,,,
3405,9,,,,
3446,9,,,,
3451,12,,,,
3453,9,9,1.0,,
3480,9,3,0.3333,3,0.3333
3490,5,,,,
3500,6,,,,
3503,17,7,0.4118,2,0.1176
3512,16,15,0.9375,15,0.9375
3528,14,,,,
3530,7,,,,
3534,5,,,,
3566,24,,,1,0.0417
3569,10,,,,
3594,27,,,,
3612,13,,,,
3615,16,10,0.625,13,0.8125
3625,9,,,,
3682,5,,,,
3683,6,6,1.0,,
3694,14,14,1.0,14,1.0
3724,9,,,,
3735,6,,,,
3759,3,,,,
3767,11,,,,
3771,8,,,,
3781,14,14,1.0,14,1.0
3789,17,7,0.4118,7,0.4118
3791,19,4,0.2105,2,0.1053
3801,11,10,0.9091,10,0.9091
3822,11,,,,
3829,8,,,,
3830,10,,,7,0.7
3837,15,15,1.0,15,1.0
3859,22,,,,
3875,20,10,0.5,10,0.5
3888,9,,,,
3909,8,,,,
3932,10,,,,
3934,14,,,,
3995,11,,,2,0.1818
4007,15,8,0.5333,10,0.6667
4011,10,,,,
4019,15,,,15,1.0
4031,20,,,,
4037,9,,,6,0.6667
4047,9,4,0.4444,4,0.4444
4071,14,,,,
4084,8,,,,
4102,17,,,1,0.0588
4103,10,,,,
4105,15,,,,
4116,13,13,1.0,13,1.0
4125,7,,,,
4142,7,,,,
4153,7,,,,
4179,18,,,,
4188,12,,,,
4205,13,,,1,0.0769
4233,12,6,0.5,6,0.5
4265,14,14,1.0,,
4286,15,7,0.4667,,
4289,11,,,,
4306,15,5,0.3333,7,0.4667
4312,10,7,0.7,3,0.3
4335,6,5,0.8333,6,1.0
4339,13,5,0.3846,2,0.1538
4394,9,,,,
4409,19,,,,
4411,19,,,,
4414,11,5,0.4545,9,0.8182
4415,4,,,,
4433,12,7,0.5833,,
4447,9,8,0.8889,3,0.3333
4464,9,,,,
4465,10,,,7,0.7
4484,20,,,,
4499,11,,,,
4500,11,,,6,0.5455
4504,11,11,1.0,1,0.0909
4514,10,10,1.0,,
4523,14,,,5,0.3571
4539,14,,,,
4571,14,2,0.1429,3,0.2143
4600,14,,,,
4605,14,4,0.2857,13,0.9286
4615,10,,,,
4640,16,,,,
4641,9,,,,
4678,4,,,,
4681,9,4,0.4444,4,0.4444
4700,15,15,1.0,,
4714,10,10,1.0,8,0.8
4756,9,,,,
4767,8,,,,
4775,13,,,,
4777,13,,,1,0.0769
4785,14,,,,
4804,11,,,1,0.0909
4813,8,,,,
4823,17,8,0.4706,8,0.4706
4827,9,,,,
4837,11,,,,
4844,16,11,0.6875,,
4845,8,,,,
4846,10,,,2,0.2
4863,10,9,0.9,,
4865,15,,,,
4920,12,6,0.5,2,0.1667
4942,8,,,,
4946,7,5,0.7143,5,0.7143
4955,14,,,,
4962,9,,,,
4968,15,14,0.9333,14,0.9333
