qid,n_words,t_suf_global,phi_suf_global,t_suf_perq,phi_suf_perq
10792,12,9,0.75,9,0.75
10808,17,,,5,0.2941
10809,7,7,1.0,,
10812,8,6,0.75,7,0.875
10827,13,,,1,0.0769
10845,10,10,1.0,10,1.0
10912,3,,,,
10932,6,4,0.6667,4,0.6667
10975,19,,,,
10979,4,4,1.0,4,1.0
10994,10,6,0.6,4,0.4
11039,10,7,0.7,5,0.5
11054,13,5,0.3846,7,0.5385
11088,14,,,14,1.0
